[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度],[D3]
西巒大山,西巒大山,1.8,登山口,4.7,XL100,47,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243731,2621992,23.701726,120.938525,6.5
西巒大山,西巒大山,1.7,登山口,4.8,XL100,48,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243716,2621934,23.701201,120.938382,6.5
西巒大山,西巒大山,1.6,登山口,4.9,XL100,49,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243781,2621891,23.700811,120.939018,6.5
西巒大山,西巒大山,1.5,登山口,5.0,XL100,50,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243838,2621837,23.700328,120.939570,6.5
西巒大山,西巒大山,1.4,登山口,5.1,XL100,51,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243905,2621814,23.700117,120.940231,6.5
西巒大山,西巒大山,1.3,登山口,5.2,XL100,52,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243956,2621770,23.699720,120.940735,6.5
西巒大山,西巒大山,1.2,登山口,5.3,XL100,53,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243991,2621741,23.699458,120.941075,6.5
西巒大山,西巒大山,1.1,登山口,5.4,XL100,54,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244031,2621661,23.698741,120.941465,6.5
西巒大山,西巒大山,1.0,登山口,5.5,XL100,55,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244063,2621583,23.698037,120.941781,6.5
西巒大山,西巒大山,0.9,登山口,5.6,XL100,56,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244129,2621526,23.697516,120.942429,6.5
西巒大山,西巒大山,0.8,登山口,5.7,XL100,57,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244201,2621474,23.697049,120.943134,6.5
西巒大山,西巒大山,0.7,登山口,5.8,XL100,58,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244250,2621402,23.696398,120.943618,6.5
西巒大山,西巒大山,0.6,登山口,5.9,XL100,59,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244286,2621332,23.695763,120.943969,6.5
西巒大山,西巒大山,0.5,登山口,6.0,XL100,60,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244352,2621299,23.695470,120.944613,6.5
西巒大山,西巒大山,0.4,登山口,6.1,XL100,61,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244393,2621248,23.695012,120.945022,6.5
西巒大山,西巒大山,0.3,登山口,6.2,XL100,62,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244431,2621195,23.694528,120.945395,6.5
西巒大山,西巒大山,0.2,登山口,6.3,XL100,63,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244490,2621158,23.694196,120.945966,6.5
西巒大山,西巒大山,0.1,登山口,6.4,XL100,64,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244554,2621139,23.694026,120.946596,6.5
西巒大山,西巒大山,0.0,登山口,6.5,XL100,65,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),244624,2621137,23.694005,120.947286,6.5
